epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33295,3.4798,4.92627,1.37566,0,0,0,0,2.75581,4.98649,1.19951,0,0,0
2,11.8709,3.25048,4.90343,1.33352,0,0,0,0,2.75229,4.98417,1.19716,4.901e-06,4.901e-06,4.901e-06
3,17.2091,2.67816,4.8709,1.29746,0,0,0,0,2.73747,4.98137,1.19066,9.604e-06,9.604e-06,9.604e-06
4,21.9991,2.76098,4.88535,1.28444,0,0,0,0,2.71412,4.97897,1.18128,1.4109e-05,1.4109e-05,1.4109e-05
5,26.1338,2.63277,4.86417,1.26367,0,0,0,0,2.68538,4.97556,1.16825,1.8416e-05,1.8416e-05,1.8416e-05
6,30.2733,2.58197,4.81246,1.24654,0,0,0,0,2.64879,4.97097,1.15333,2.2525e-05,2.2525e-05,2.2525e-05
7,34.8177,2.82584,4.83998,1.23319,0,0,0,0,2.62019,4.9669,1.13918,2.6436e-05,2.6436e-05,2.6436e-05
8,38.8861,2.37633,4.77802,1.18502,0,0,0,0,2.60279,4.96365,1.12422,3.0149e-05,3.0149e-05,3.0149e-05
9,43.3647,2.80687,4.77637,1.20226,0,0,0,0,2.59397,4.96014,1.10723,3.3664e-05,3.3664e-05,3.3664e-05
10,47.1824,2.53437,4.74444,1.14981,0,0,0,0,2.5816,4.95771,1.09416,3.6981e-05,3.6981e-05,3.6981e-05
11,51.6683,2.26623,4.66524,1.13692,0,0,0,0,2.5775,4.964,1.08379,4.01e-05,4.01e-05,4.01e-05
12,56.3502,2.50772,4.6793,1.1081,0,0,0,0,2.56906,4.96871,1.07608,4.3021e-05,4.3021e-05,4.3021e-05
13,60.17,2.05305,4.59628,1.10128,0,0,0,0,2.56112,4.96734,1.06605,4.5744e-05,4.5744e-05,4.5744e-05
14,64.5319,2.53167,4.59602,1.06668,0,0,0,0,2.561,4.96791,1.05727,4.8269e-05,4.8269e-05,4.8269e-05
15,68.2602,2.18329,4.48603,1.07161,0,0,0,0,2.53799,4.96282,1.04653,5.0596e-05,5.0596e-05,5.0596e-05
16,72.7243,2.33086,4.4696,1.06288,0,0,0,0,2.52349,4.95728,1.03673,5.2725e-05,5.2725e-05,5.2725e-05
17,76.974,2.25406,4.38929,1.05702,0,0,0,0,2.51352,4.94619,1.02351,5.4656e-05,5.4656e-05,5.4656e-05
18,81.3979,2.36705,4.40804,1.01884,0,0,0,0,2.51352,4.94619,1.02351,5.6389e-05,5.6389e-05,5.6389e-05
19,85.5951,2.35414,4.28364,1.0442,0,0,0,0,2.49259,4.93369,1.01,5.7924e-05,5.7924e-05,5.7924e-05
20,89.7695,2.30827,4.18771,1.02292,0,0,0,0,2.49259,4.93369,1.01,5.9261e-05,5.9261e-05,5.9261e-05
21,94.1188,2.32037,4.26519,1.01893,0,0,0,0,2.45249,4.90576,0.99443,6.04e-05,6.04e-05,6.04e-05
22,98.3149,2.17036,4.14669,0.98481,0,0,0,0,2.45249,4.90576,0.99443,6.1341e-05,6.1341e-05,6.1341e-05
23,103.225,2.31071,4.23395,1.00279,0,0,0,0,2.46631,4.86944,0.98528,6.2084e-05,6.2084e-05,6.2084e-05
24,107.234,2.17485,4.03656,1.01978,0,0,0,0,2.46631,4.86944,0.98528,6.2629e-05,6.2629e-05,6.2629e-05
25,111.772,2.58665,4.05212,0.98555,0,0,0,0,2.46819,4.82857,0.97955,6.2976e-05,6.2976e-05,6.2976e-05
26,116.161,2.15097,3.95797,1.01979,0,0,0,0,2.46819,4.82857,0.97955,6.3125e-05,6.3125e-05,6.3125e-05
27,120.703,2.80668,4.06085,1.01173,0,0,0,0,2.44101,4.78385,0.97038,6.3076e-05,6.3076e-05,6.3076e-05
28,125.185,2.45796,3.93996,1.00062,0,0,0,0,2.44101,4.78385,0.97038,6.2829e-05,6.2829e-05,6.2829e-05
29,129.755,2.55939,3.91879,0.98694,0,0,0,0,2.43226,4.7501,0.9681,6.2384e-05,6.2384e-05,6.2384e-05
30,134.11,2.35737,3.79206,0.96329,0,0,0,0,2.43226,4.7501,0.9681,6.1741e-05,6.1741e-05,6.1741e-05
31,138.226,2.05012,3.78525,0.97191,0,0,0,0,2.41519,4.71412,0.96385,6.09e-05,6.09e-05,6.09e-05
32,142.991,2.2934,3.68427,0.98682,0,0,0,0,2.41519,4.71412,0.96385,5.9861e-05,5.9861e-05,5.9861e-05
33,147.598,2.30533,3.59934,0.98039,0,0,0,0,2.39276,4.67767,0.9597,5.8624e-05,5.8624e-05,5.8624e-05
34,152.055,2.36077,3.48796,0.98456,0,0,0,0,2.39276,4.67767,0.9597,5.7189e-05,5.7189e-05,5.7189e-05
35,156.388,2.37687,3.56134,0.96779,0,0,0,0,2.3658,4.64011,0.95526,5.5556e-05,5.5556e-05,5.5556e-05
36,160.675,2.39968,3.48953,0.97864,0,0,0,0,2.3658,4.64011,0.95526,5.3725e-05,5.3725e-05,5.3725e-05
37,164.759,2.47089,3.56316,0.9979,1,0.00366,0.50182,0.35127,2.34188,4.60537,0.95249,5.1696e-05,5.1696e-05,5.1696e-05
38,168.819,2.4471,3.4786,0.98523,1,0.00366,0.50182,0.35127,2.34188,4.60537,0.95249,4.9469e-05,4.9469e-05,4.9469e-05
39,172.693,2.27418,3.41813,0.97212,1,0.00366,0.50182,0.35127,2.32703,4.56825,0.95116,4.7044e-05,4.7044e-05,4.7044e-05
40,176.726,2.46826,3.48976,0.98834,1,0.00366,0.50182,0.35127,2.32703,4.56825,0.95116,4.4421e-05,4.4421e-05,4.4421e-05
41,180.353,2.26463,2.93176,0.94843,1,0.01832,0.50915,0.21388,2.3176,4.52775,0.95016,4.16e-05,4.16e-05,4.16e-05
42,184.209,2.13507,2.9198,0.95267,1,0.01832,0.50915,0.21388,2.3176,4.52775,0.95016,3.8581e-05,3.8581e-05,3.8581e-05
43,188.065,2.19476,3.08382,1.00966,1,0.03663,0.5183,0.19694,2.3126,4.48711,0.95006,3.5364e-05,3.5364e-05,3.5364e-05
44,191.677,2.15433,2.94318,0.9755,1,0.03663,0.5183,0.19694,2.3126,4.48711,0.95006,3.1949e-05,3.1949e-05,3.1949e-05
45,195.511,2.17299,2.91271,0.97984,1,0.04762,0.5238,0.22061,2.30402,4.44956,0.95001,2.8336e-05,2.8336e-05,2.8336e-05
46,199.275,2.04779,3.0038,1.00174,1,0.04762,0.5238,0.22061,2.30402,4.44956,0.95001,2.4525e-05,2.4525e-05,2.4525e-05
47,202.748,2.35863,2.69859,0.9579,1,0.05861,0.5293,0.2266,2.29691,4.41669,0.95004,2.0516e-05,2.0516e-05,2.0516e-05
48,206.111,2.05475,2.91891,0.97624,1,0.05861,0.5293,0.2266,2.29691,4.41669,0.95004,1.6309e-05,1.6309e-05,1.6309e-05
49,209.455,2.27971,2.66674,0.95234,0.94444,0.06227,0.50467,0.22307,2.29416,4.38833,0.95045,1.1904e-05,1.1904e-05,1.1904e-05
50,212.619,2.21627,2.7356,0.96264,0.94444,0.06227,0.50467,0.22307,2.29416,4.38833,0.95045,7.301e-06,7.301e-06,7.301e-06
